0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
22,787,83,160,6,371,100,17,513,162,130,3,22,26,391,7,19,5,20,68,279,476,455,9,259,132,1,24,1,30,3,77,11,2,238,467,109,25,234,310,26,6,29,5,42,535,15,305,23,40,4215,18,3,25,8,88,1,13,5,9,10,8,219,24,366,3,397
16,803,75,148,11,414,114,17,560,166,149,1,15,26,411,16,10,2,14,71,251,489,461,12,262,133,0,28,5,33,12,85,17,1,217,527,106,18,217,325,13,6,38,5,36,553,14,281,41,43,4359,12,2,27,8,79,3,5,4,9,7,8,225,19,359,7,431
18,785,83,170,4,373,107,22,531,149,132,1,26,27,377,9,10,6,13,64,210,510,452,7,230,142,2,25,6,38,9,79,11,1,260,440,98,11,221,319,27,7,30,3,43,477,18,263,32,42,4211,10,0,18,10,71,0,7,6,7,11,10,223,19,357,7,417
10,784,71,153,4,331,117,20,542,168,134,0,15,29,393,15,18,7,16,47,253,511,455,8,262,119,1,29,3,27,8,110,10,1,241,491,94,16,231,302,22,9,44,6,35,523,24,303,28,41,4255,10,0,27,3,84,1,7,5,11,5,4,186,18,354,5,434
14,828,58,137,9,387,109,13,575,171,131,0,14,18,425,15,17,3,15,57,228,492,480,5,237,151,0,34,2,40,6,96,21,3,275,474,84,18,223,297,19,8,33,6,37,527,23,268,35,38,4408,15,3,29,6,74,2,14,5,19,10,5,228,12,352,8,417
16,735,67,161,9,380,104,16,573,196,120,1,7,25,394,13,13,6,17,76,227,491,447,15,272,133,1,22,4,50,9,68,11,1,227,480,83,15,230,340,20,5,28,3,50,501,15,293,31,49,4438,9,4,30,10,90,2,7,8,9,8,9,209,23,361,7,447
17,824,67,164,10,424,118,18,568,151,118,1,19,20,372,9,8,5,15,74,241,492,494,6,270,127,3,22,6,43,6,80,10,3,255,462,95,14,242,329,26,9,37,6,40,517,11,280,26,62,4294,9,3,37,4,102,1,7,9,8,7,10,239,20,382,7,401
13,789,67,171,6,384,113,15,536,146,127,1,25,18,376,7,22,6,17,58,219,483,482,7,262,134,3,27,3,27,10,73,11,3,252,485,100,12,239,331,18,9,37,6,34,521,17,285,33,45,4299,13,2,33,9,79,1,7,6,4,4,8,206,14,351,7,404
17,832,81,165,8,363,114,16,550,164,148,0,24,27,413,7,15,5,20,64,255,489,453,13,284,122,3,30,1,41,6,76,9,3,236,446,103,15,236,320,18,8,38,6,45,539,14,289,22,33,4311,16,2,31,4,66,1,6,5,7,8,9,224,21,348,11,452
14,772,72,144,10,381,107,17,548,163,118,0,23,18,409,9,12,8,17,52,229,492,450,10,259,120,1,27,1,33,6,70,21,1,261,486,92,19,239,283,25,10,31,2,43,549,16,299,27,51,4196,16,3,24,9,69,0,4,4,11,10,7,219,13,332,7,373
15,787,70,166,4,363,100,29,570,174,116,2,18,18,402,14,17,3,20,67,260,492,470,10,243,100,2,32,2,38,6,50,8,1,219,474,87,16,216,305,22,7,33,5,39,530,17,262,21,38,4312,13,3,26,14,85,1,6,2,12,10,9,232,16,376,9,381
22,721,62,153,5,398,114,17,580,145,126,0,19,33,408,14,11,7,8,50,269,545,450,11,237,137,1,36,0,36,7,84,16,4,229,489,107,19,241,339,24,13,29,13,31,538,21,284,35,42,4333,11,1,21,6,78,0,6,3,6,6,10,227,14,317,8,441
25,731,79,145,16,422,131,12,539,174,130,0,20,19,423,13,14,6,16,56,233,505,471,12,267,117,3,25,1,42,4,77,8,4,251,442,93,14,199,316,18,7,27,7,47,529,14,321,23,42,4389,17,4,24,5,97,0,6,8,9,9,4,234,16,389,12,388
13,823,73,127,5,385,152,15,552,155,151,2,19,23,400,15,10,3,24,66,234,464,439,12,261,131,1,10,2,39,9,85,10,1,228,483,82,23,227,337,21,8,36,4,44,549,20,290,33,44,4298,14,2,20,4,87,3,5,6,5,9,10,258,19,332,10,434
20,792,89,148,5,427,123,27,564,189,117,0,13,20,400,12,16,9,11,59,232,499,478,9,275,124,2,16,2,39,8,88,16,5,243,475,107,21,235,291,15,7,25,7,38,545,20,282,29,37,4428,15,3,19,12,74,4,12,4,3,4,5,226,20,375,7,411
17,815,79,156,5,370,117,25,585,161,139,2,18,24,388,8,13,4,20,70,233,495,468,6,232,140,1,23,1,37,9,86,15,2,218,503,90,15,218,295,22,5,38,9,41,544,14,281,24,42,4298,18,3,36,10,82,0,7,2,8,5,7,217,5,313,6,458
16,761,57,149,7,365,122,19,583,148,115,0,21,29,418,10,15,7,12,64,239,478,429,7,258,110,3,17,6,44,7,60,15,4,235,454,112,10,219,327,24,10,40,6,45,540,14,263,30,35,4456,11,4,21,2,71,3,6,3,8,6,5,227,18,363,1,440
18,765,79,122,3,402,121,16,570,157,135,1,13,16,374,15,9,9,13,59,275,479,474,9,269,119,3,25,3,35,9,84,17,2,236,464,88,21,237,293,25,6,28,7,48,519,22,255,36,55,4297,14,2,22,5,80,1,6,3,3,13,7,220,17,344,13,405
14,768,72,157,9,378,114,21,558,165,125,1,13,23,387,7,11,8,21,77,237,487,474,10,281,139,1,23,0,52,10,80,10,4,263,473,102,14,215,311,21,10,34,6,40,529,16,282,23,39,4370,13,1,24,2,74,2,7,3,10,8,5,215,13,369,8,417
22,795,66,149,12,411,122,20,587,169,150,1,19,19,398,7,13,6,16,74,240,486,443,8,257,126,3,27,6,50,9,86,13,4,257,454,78,16,252,284,19,7,38,4,48,542,22,281,38,41,4378,13,5,25,3,74,2,7,3,6,12,11,226,21,358,9,427
17,766,75,162,4,406,123,15,522,162,132,0,18,33,417,10,12,9,15,65,242,491,430,12,270,124,1,28,2,35,11,86,14,1,222,461,103,18,229,315,20,9,34,9,42,535,25,261,25,48,4288,12,3,22,8,77,0,5,6,5,11,7,204,15,346,5,407
21,762,77,152,5,424,118,25,600,169,118,3,18,31,380,17,16,6,19,60,249,463,478,8,262,148,0,26,2,45,5,84,9,3,267,497,100,14,208,323,19,6,44,0,40,572,19,289,29,34,4171,14,5,26,6,83,1,5,6,7,7,10,211,14,325,8,407
11,791,67,168,7,406,111,14,558,171,138,0,17,29,394,9,15,8,18,63,223,484,433,9,246,130,2,29,1,39,6,70,14,2,230,510,89,15,235,303,22,9,32,8,43,529,11,280,30,50,4241,14,3,27,5,81,0,8,9,7,9,5,211,23,352,8,420
