0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
16,962,86,191,13,456,110,25,676,208,151,3,16,22,567,15,18,5,28,78,271,565,624,12,282,124,2,23,5,41,4,82,14,3,259,539,75,27,364,351,28,6,30,5,49,765,17,335,30,45,4483,24,3,25,12,76,1,13,4,9,9,11,271,25,431,3,503
17,956,78,193,13,438,105,22,729,208,154,1,18,22,566,18,13,3,16,86,269,570,679,10,300,155,0,35,2,40,12,94,19,4,282,557,94,21,338,353,16,8,45,5,60,808,22,335,33,40,4352,13,3,21,6,82,3,8,9,11,9,11,240,20,449,7,499
18,928,96,198,9,428,110,20,683,192,150,2,20,24,552,13,16,6,17,61,224,604,615,5,283,137,0,30,4,36,11,95,17,1,246,526,97,15,338,347,20,15,39,3,45,774,22,307,39,44,4393,13,3,27,6,71,0,12,7,8,7,10,229,18,441,11,484
17,927,76,165,11,423,107,19,736,214,138,0,16,33,503,16,15,11,13,76,292,590,616,8,280,124,1,34,3,42,10,93,8,3,283,541,89,18,337,365,31,4,46,4,54,763,24,357,38,38,4462,22,0,41,2,84,1,9,4,11,11,11,202,24,451,5,500
18,1001,75,202,8,449,111,15,732,182,163,0,18,36,552,14,13,5,20,80,255,617,658,7,274,145,0,29,4,37,5,78,26,0,261,544,104,17,332,381,18,10,39,6,50,791,25,300,28,33,4513,17,3,21,9,81,1,17,4,11,9,3,241,11,470,8,532
18,971,75,154,14,437,117,22,737,194,141,1,18,31,510,8,13,7,18,83,263,628,589,10,278,147,1,27,4,40,7,82,10,5,256,566,91,18,348,327,24,5,31,8,49,759,21,318,43,54,4584,20,2,21,6,96,1,6,8,15,10,4,226,22,447,3,495
19,1048,70,219,6,422,136,21,698,189,150,1,19,29,529,12,18,3,32,82,284,588,628,8,302,140,3,21,4,54,10,93,12,1,259,540,105,23,326,352,23,9,41,8,48,796,17,317,23,48,4488,13,2,33,9,99,1,7,8,8,6,8,229,19,459,13,493
14,938,73,186,4,429,123,20,699,211,128,0,31,32,507,13,23,10,21,83,235,560,619,6,289,140,3,29,4,31,11,84,11,3,260,537,94,21,350,358,16,8,42,9,46,766,23,347,26,34,4387,24,2,34,8,82,2,14,3,9,6,9,262,14,404,9,477
22,951,85,202,5,444,132,19,722,199,167,0,17,33,578,8,13,7,21,78,296,567,614,11,296,142,3,29,9,40,10,71,11,3,242,529,97,26,307,351,12,10,35,9,52,787,18,314,30,33,4405,19,2,22,6,70,1,7,5,8,5,4,266,23,444,6,494
17,966,68,193,9,417,127,17,650,210,152,0,18,36,595,13,6,12,26,80,287,590,591,11,289,151,0,23,5,39,10,97,20,1,269,545,99,25,351,360,24,10,32,5,67,782,16,329,31,46,4312,10,4,27,10,74,0,3,3,9,10,5,244,18,436,8,470
19,956,80,205,4,402,120,30,716,220,136,1,17,35,544,15,19,6,17,98,256,579,651,8,277,128,2,17,4,43,6,84,8,1,258,526,95,18,342,366,20,7,28,6,48,780,24,345,38,50,4425,12,2,29,9,84,1,6,4,23,9,8,262,18,455,8,482
22,1009,77,156,9,435,123,18,720,198,136,0,21,24,507,7,17,11,17,75,271,632,627,10,283,157,1,28,4,30,8,95,21,4,276,527,99,24,351,341,15,8,50,13,51,783,17,355,29,49,4409,14,6,20,10,80,1,7,4,5,3,11,271,20,401,7,506
25,941,104,190,6,425,129,14,740,212,162,0,19,25,573,14,14,8,21,75,244,598,633,10,311,127,4,29,3,40,8,91,8,4,265,576,100,24,349,381,27,5,35,7,60,776,21,348,28,52,4483,17,2,38,3,81,0,5,8,8,10,9,257,16,450,6,511
15,976,78,170,9,453,158,18,762,207,155,2,21,27,530,10,13,2,17,84,253,583,613,12,283,142,1,25,5,59,13,76,11,5,236,561,87,28,331,334,27,8,37,4,49,809,22,331,35,35,4479,15,2,22,6,87,3,7,1,7,6,6,238,19,432,6,477
25,946,78,184,11,419,126,25,763,223,157,0,15,31,559,12,16,11,21,79,280,575,621,8,300,152,2,33,4,38,13,96,15,3,262,552,115,37,342,338,21,10,34,11,45,765,28,341,29,40,4404,16,3,25,9,80,5,11,8,7,10,11,251,22,427,7,486
20,945,83,183,7,422,128,27,689,203,142,2,16,27,489,12,16,7,18,81,268,595,654,5,282,134,1,23,3,36,13,78,14,2,251,564,90,20,325,358,19,7,54,9,48,775,22,333,26,41,4395,20,4,32,10,89,1,6,10,7,8,3,234,12,403,6,521
18,996,71,189,12,434,114,22,685,197,147,0,19,31,563,19,14,2,21,82,262,568,579,7,294,126,5,38,5,41,13,77,14,5,231,523,100,22,326,372,22,6,45,8,60,790,14,324,25,40,4460,21,3,20,3,76,3,9,5,8,9,4,239,18,456,4,501
16,1000,69,180,5,433,134,17,662,189,146,2,15,26,566,13,11,5,19,77,268,561,634,9,293,130,3,27,3,35,13,92,15,2,253,502,88,33,365,359,22,11,24,12,49,791,20,324,32,52,4337,16,2,28,11,76,0,7,6,11,6,6,247,17,455,13,523
17,965,83,173,7,416,122,23,707,229,139,0,14,30,510,6,16,9,21,81,243,553,639,8,309,132,1,25,2,45,9,75,9,4,270,530,107,27,361,370,29,10,25,4,45,768,20,336,25,58,4496,25,3,28,6,74,2,7,4,11,5,5,249,13,416,8,506
21,1003,70,186,14,431,137,17,703,208,159,2,22,27,545,9,11,8,14,82,270,601,586,12,306,147,3,22,7,38,6,83,13,4,260,554,113,16,357,363,22,7,28,5,47,756,19,302,39,45,4420,16,9,34,9,74,2,13,3,10,11,10,226,17,447,9,498
13,956,98,210,8,410,139,14,646,224,166,0,21,40,516,13,18,5,18,86,265,594,539,15,294,143,1,24,2,49,10,85,15,1,262,556,84,16,398,334,18,9,42,7,60,797,22,304,30,49,4403,16,3,27,6,75,0,7,1,9,16,7,232,16,455,6,499
16,911,82,204,13,455,110,34,781,233,153,3,20,38,551,14,12,9,21,86,267,547,601,5,288,154,0,23,5,48,8,85,8,0,267,511,113,25,361,384,21,8,50,0,42,755,15,387,26,39,4339,16,4,29,7,88,1,11,7,9,13,7,242,20,445,8,456
20,1029,72,185,9,438,137,18,711,192,154,0,19,30,584,9,21,6,25,94,258,610,579,9,289,123,2,35,4,42,8,79,14,1,277,572,91,35,356,321,14,8,37,8,45,792,22,347,28,57,4405,20,3,41,6,93,0,6,7,5,16,8,259,24,412,7,480
19,1031,69,168,5,461,121,19,689,210,148,1,12,35,545,9,18,12,15,72,285,601,615,8,282,147,2,34,3,47,11,83,13,3,251,512,90,21,320,352,22,9,47,11,48,733,18,323,29,47,4419,23,1,32,19,93,1,9,7,8,10,12,244,16,443,5,483
14,981,97,178,6,473,139,15,705,176,160,0,12,44,510,10,15,7,9,85,279,611,574,9,281,126,4,25,3,41,9,82,7,0,239,562,79,30,367,377,27,11,43,5,52,777,18,351,30,52,4341,19,8,27,11,87,1,5,1,8,16,11,268,16,443,4,479
13,929,70,190,8,430,126,12,737,178,163,0,19,38,521,9,21,12,17,71,254,541,592,16,256,140,0,30,2,50,9,90,14,2,262,550,73,32,331,360,19,6,32,6,55,793,16,308,30,53,4498,8,4,31,10,80,0,7,4,7,2,9,233,13,433,13,502
19,938,87,185,6,454,124,22,680,216,143,1,19,32,541,11,24,5,20,73,250,613,616,10,287,128,0,27,7,38,2,83,14,2,244,531,106,23,340,342,16,8,33,8,55,768,19,314,35,47,4346,18,2,40,2,79,2,9,7,8,10,6,234,10,458,8,520
17,980,87,194,11,468,131,29,755,194,158,2,12,31,582,20,16,11,25,82,272,585,609,10,292,153,2,23,5,46,7,81,13,1,261,545,103,19,360,338,15,8,43,6,45,718,22,358,32,57,4334,12,4,30,8,87,2,7,4,4,6,8,271,21,437,8,441
17,973,71,175,7,422,127,22,692,214,160,2,16,23,517,16,10,11,21,89,235,594,583,5,313,114,3,22,2,32,12,85,14,2,242,532,97,28,356,393,25,6,26,3,50,804,21,343,34,36,4361,18,8,26,6,83,2,15,8,13,6,9,215,13,456,3,495
16,1010,69,175,8,404,144,20,699,233,173,1,21,24,550,16,15,9,15,68,255,587,598,9,289,151,2,26,1,50,11,86,24,1,243,589,84,21,363,354,20,9,38,4,38,729,24,330,24,43,4397,26,2,26,6,88,0,11,5,7,7,5,239,17,477,3,500
15,964,78,192,7,415,128,23,762,189,141,2,15,32,541,9,18,7,15,74,274,599,630,4,301,142,0,25,7,51,10,91,13,2,247,581,94,18,353,368,13,7,44,3,61,781,19,325,40,63,4535,20,1,22,8,87,1,7,3,6,6,10,263,21,437,8,468
25,997,72,200,9,398,124,25,725,189,149,0,14,44,529,18,9,13,16,84,278,557,602,6,289,157,4,26,5,42,11,89,10,2,277,571,99,27,367,361,21,12,41,6,46,811,21,347,37,50,4412,14,2,26,9,85,1,4,0,9,12,15,253,16,458,7,456
18,983,69,215,9,445,116,20,655,184,151,0,17,34,586,13,11,9,14,80,249,622,607,4,290,135,0,22,6,39,9,99,10,3,267,534,92,18,365,375,32,7,39,6,47,753,20,332,28,54,4443,15,5,39,5,86,4,6,3,3,5,5,217,19,431,7,498
20,1019,66,176,9,415,128,28,692,165,139,0,12,39,506,8,10,9,14,75,295,612,679,5,299,132,1,19,2,28,15,100,16,1,248,537,80,18,364,346,21,6,32,3,61,759,16,351,36,44,4390,9,4,21,8,99,1,7,7,6,4,8,268,17,430,4,456
18,953,76,192,8,453,105,14,717,216,170,2,25,37,548,11,8,6,20,81,262,573,622,6,285,122,5,24,4,55,8,96,11,3,298,566,76,19,356,368,18,7,31,9,53,737,20,312,32,47,4490,13,0,25,5,95,1,10,4,10,7,9,246,21,461,8,500
14,988,83,194,3,424,139,18,736,193,147,0,18,21,513,13,26,9,26,80,226,571,623,6,324,114,2,29,7,35,4,88,15,5,254,538,95,23,347,356,21,8,33,9,43,782,17,317,33,39,4258,14,4,19,4,83,0,5,5,5,9,9,221,16,434,4,485
17,979,65,185,11,477,132,24,707,176,141,1,19,44,540,11,11,4,21,81,236,604,629,7,307,138,0,30,4,32,12,80,16,6,268,515,109,22,372,364,26,7,39,9,55,804,25,310,22,56,4383,13,4,21,6,81,1,8,1,11,9,10,238,26,450,5,476
18,994,90,181,6,444,129,13,734,194,173,1,14,30,551,18,16,7,18,91,265,589,621,14,306,121,4,21,3,37,11,74,14,5,262,566,82,27,374,341,16,7,27,7,57,753,14,314,28,61,4457,10,2,35,10,80,1,4,3,9,8,5,251,16,421,5,505
14,994,67,180,12,417,122,16,736,217,142,0,32,28,599,15,14,7,25,82,259,511,648,10,302,120,1,33,6,36,11,83,18,3,239,582,92,17,368,359,20,13,40,12,56,757,20,311,29,41,4501,15,4,30,8,70,0,9,7,7,9,7,233,13,455,11,469
