0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,751,86,168,11,372,110,13,550,162,104,3,13,24,401,7,13,3,21,50,275,504,446,12,288,113,1,26,3,30,3,64,13,3,226,468,91,20,260,301,23,6,34,2,51,542,16,321,37,43,3753,14,2,23,7,90,1,10,2,7,6,3,217,18,350,3,426
19,722,61,144,10,388,101,17,558,174,112,1,17,29,388,8,12,6,15,70,245,551,504,8,298,104,0,30,2,38,11,88,16,1,243,468,71,16,231,322,17,3,30,7,43,563,18,262,24,43,3701,16,2,23,6,77,3,5,3,7,3,12,182,19,332,5,415
13,759,65,141,4,357,105,20,551,160,111,1,17,20,402,5,11,6,18,56,216,494,457,6,229,114,2,23,4,40,9,79,11,1,235,456,75,17,234,303,26,5,41,3,42,537,20,245,30,45,3743,15,0,20,5,65,0,6,2,8,10,13,205,16,367,10,419
12,714,50,132,7,386,111,21,598,163,124,0,24,22,417,19,17,8,16,63,242,489,415,5,279,119,1,31,2,37,8,66,10,0,243,465,84,11,240,303,28,9,42,4,48,508,15,293,21,40,3666,16,0,28,3,82,1,7,2,9,13,3,206,22,329,5,389
19,772,62,111,9,374,106,14,605,145,135,0,8,21,389,10,15,3,13,64,237,513,466,5,271,112,0,28,2,44,7,65,10,1,267,524,73,10,231,325,20,9,33,7,46,576,23,279,31,38,3796,10,3,24,4,68,2,11,4,18,8,6,208,17,328,12,430
16,759,54,135,5,406,95,15,520,176,138,1,8,30,392,17,16,4,13,43,225,501,461,6,257,143,1,34,8,47,9,71,7,1,213,518,77,17,209,275,28,3,22,7,32,582,15,264,37,50,3779,3,5,27,7,71,1,8,2,9,8,12,204,19,349,2,406
8,751,81,151,5,395,111,18,597,165,137,1,12,19,394,10,8,5,20,41,248,506,470,10,276,124,3,29,7,47,7,63,12,1,232,458,67,17,242,303,22,9,41,2,62,508,11,265,17,50,3647,10,2,23,7,82,1,6,1,5,5,7,195,21,356,5,406
17,706,69,137,5,352,123,12,540,174,136,0,10,23,379,9,15,10,16,57,192,503,492,5,263,147,3,24,3,26,12,58,11,5,228,492,75,13,223,292,18,3,35,5,43,556,17,265,32,26,3743,10,2,32,8,76,1,4,2,4,3,7,215,20,352,6,401
15,770,68,140,8,371,118,14,585,158,139,0,15,23,417,8,13,5,16,60,220,507,459,9,290,112,2,26,1,36,6,76,5,2,240,462,83,22,249,286,19,8,29,5,37,567,12,281,29,35,3650,11,2,22,5,64,1,6,3,7,6,6,197,11,361,11,423
21,768,61,134,12,346,119,19,536,177,115,0,13,25,426,9,8,9,14,45,204,541,495,11,251,128,1,31,1,44,11,75,22,0,239,506,73,16,260,285,20,9,25,3,48,565,16,251,23,48,3714,12,3,23,6,68,0,2,1,10,5,7,200,12,347,2,386
13,710,56,152,6,343,109,19,551,159,134,1,18,28,440,15,17,5,17,68,220,519,502,5,268,108,1,25,1,44,7,74,6,1,220,472,65,21,256,287,18,2,34,6,42,526,20,249,21,39,3729,15,2,33,14,75,2,8,2,9,9,6,197,15,358,6,403
11,719,72,132,10,398,87,20,581,171,134,0,16,34,407,8,11,8,21,43,238,530,465,3,246,126,1,30,0,34,9,67,16,3,219,486,81,20,250,318,15,8,38,13,39,528,11,290,31,40,3517,11,2,15,5,85,0,6,4,6,1,10,199,15,332,7,425
15,780,87,155,10,386,124,10,587,175,139,0,15,16,447,20,13,8,20,52,231,495,484,10,284,95,3,26,4,39,3,71,8,1,239,449,81,17,200,302,28,7,31,8,39,555,15,295,22,52,3691,15,4,27,7,73,0,4,3,8,12,7,209,14,362,7,419
15,768,72,142,5,384,125,21,540,128,135,2,13,40,421,11,12,5,19,56,226,540,477,13,261,133,1,26,2,45,10,61,12,1,200,469,77,18,233,305,24,4,29,2,38,554,21,268,28,51,3668,9,2,29,6,75,3,4,1,6,10,10,226,19,382,5,430
15,780,61,121,5,394,135,16,548,169,116,0,16,26,410,5,14,4,17,58,248,523,472,8,265,96,2,27,6,34,7,73,16,1,237,488,88,20,265,317,25,6,35,6,43,511,20,281,24,33,3621,9,3,19,6,73,5,10,3,4,6,4,205,15,308,6,356
12,787,77,138,4,381,116,16,576,167,123,2,13,27,394,10,13,6,13,54,244,493,503,5,257,120,1,30,3,35,6,72,12,2,194,494,82,16,234,284,22,7,38,5,41,600,18,290,19,43,3696,18,4,26,7,90,1,3,0,6,4,8,227,11,336,6,417
13,716,77,136,9,348,114,21,567,151,128,0,12,34,407,10,8,6,22,57,223,498,391,6,274,114,3,20,6,43,7,66,16,2,220,464,89,17,223,309,17,5,35,5,51,571,14,257,27,41,3752,15,3,22,4,86,3,6,5,8,5,5,204,9,369,0,422
16,774,69,118,5,355,113,18,556,159,133,1,23,27,425,16,12,10,12,64,256,502,467,7,276,107,3,20,3,35,8,80,10,1,237,530,76,21,272,314,28,5,24,7,36,555,23,268,34,46,3640,13,2,26,4,81,1,9,6,5,6,6,197,22,320,6,411
10,773,76,134,8,403,113,17,565,161,129,0,11,24,383,6,12,8,17,55,221,501,507,7,273,135,1,21,3,45,6,62,5,0,225,440,89,19,230,300,16,10,32,6,36,573,20,255,12,38,3661,17,3,18,4,89,2,8,5,10,10,4,229,14,326,5,392
12,761,64,137,13,399,113,15,541,186,136,2,19,18,425,7,17,5,11,48,233,496,443,7,267,133,2,26,4,50,13,70,13,3,238,426,82,20,241,316,21,3,39,5,46,535,16,250,34,44,3569,16,4,22,7,76,2,10,3,5,6,6,201,15,367,4,402
17,749,87,128,5,368,110,16,553,162,125,0,16,22,446,10,14,5,24,67,233,472,483,11,266,112,1,23,2,29,12,76,15,0,242,486,80,21,270,321,28,6,31,3,44,533,22,262,25,46,3712,12,1,29,7,81,0,4,5,8,15,8,191,17,349,6,409
8,736,67,151,7,405,116,28,568,176,121,3,8,31,403,16,15,4,21,50,206,522,465,8,271,162,0,28,4,46,6,69,9,2,252,479,76,15,217,336,27,4,35,0,35,551,20,310,31,34,3651,14,3,37,4,82,1,5,4,6,8,8,181,19,355,4,382
11,774,61,143,3,401,110,14,567,172,121,0,11,27,417,8,17,8,19,60,222,549,447,6,255,147,2,23,1,40,9,66,16,1,229,500,83,18,247,301,19,9,31,8,43,557,16,286,19,53,3697,9,3,27,5,76,0,12,2,8,12,12,210,23,343,6,418
14,802,59,157,5,366,103,17,518,144,129,1,9,30,382,12,14,7,15,71,217,538,492,9,255,110,2,25,1,31,12,80,13,3,197,450,88,19,217,316,29,9,34,9,37,568,22,269,25,49,3661,9,1,22,4,89,1,7,6,7,7,4,212,11,342,3,367
13,771,59,139,6,387,117,12,568,177,127,0,16,23,402,13,8,7,14,66,220,508,485,5,250,110,4,22,3,38,8,61,8,0,240,452,83,20,225,319,25,6,32,2,43,576,24,285,19,45,3597,11,6,33,6,94,1,6,1,6,11,7,214,20,356,5,402
16,794,68,148,5,390,110,11,574,144,118,0,10,20,394,9,17,7,22,59,232,514,460,16,277,124,0,25,3,45,10,71,12,2,226,481,77,17,235,337,16,12,35,5,39,550,10,260,25,38,3600,6,2,21,7,76,0,5,4,5,5,6,207,10,322,8,387
10,791,64,140,5,382,117,18,565,163,125,1,19,27,415,8,16,4,14,58,250,574,459,6,255,127,0,29,8,38,4,76,13,4,244,452,73,14,238,296,15,7,30,8,40,538,22,297,22,50,3731,12,3,33,4,73,1,5,2,7,6,5,191,13,330,7,400
10,703,58,135,13,374,119,20,574,155,141,1,11,30,428,12,14,8,19,58,247,464,475,7,273,127,2,28,5,46,9,69,12,1,244,499,81,9,222,338,15,7,47,4,43,537,13,253,28,45,3674,14,1,27,5,83,0,7,3,7,7,5,198,14,362,6,388
17,758,71,136,5,350,125,21,563,186,120,2,19,20,400,13,6,12,16,51,233,554,435,5,274,100,2,32,2,42,7,67,19,3,211,463,77,14,225,322,25,5,23,3,35,551,21,280,31,34,3637,7,5,37,7,69,2,9,2,6,5,8,185,15,332,3,449
11,792,65,136,13,378,102,18,531,162,117,1,19,26,374,17,18,5,20,51,223,469,429,5,263,128,2,23,5,40,8,64,17,1,221,503,72,15,242,289,13,11,28,2,38,542,23,276,16,37,3638,10,0,32,6,75,1,8,2,11,8,7,196,13,352,3,388
7,760,77,145,3,384,112,19,581,170,130,2,11,33,420,8,17,6,16,55,252,525,465,4,259,144,1,28,7,43,9,63,16,2,233,495,86,20,231,305,19,10,38,4,38,564,17,288,37,46,3701,15,1,23,7,87,1,3,4,6,7,4,180,20,324,7,421
14,753,62,146,11,389,117,18,589,161,146,0,13,30,415,11,7,8,12,60,232,520,468,6,266,120,4,21,4,42,7,67,9,2,222,494,75,23,247,323,21,9,33,6,37,583,21,265,37,50,3528,4,2,28,5,64,1,8,0,6,8,11,214,15,347,6,352
12,724,75,132,8,383,103,22,525,158,110,0,16,29,402,10,8,5,9,67,219,548,481,6,237,114,0,20,4,27,5,65,11,2,207,483,76,15,230,320,29,11,27,3,33,526,21,314,22,38,3765,11,3,25,5,79,1,6,2,7,3,6,192,15,383,3,397
13,761,51,140,8,387,114,23,561,181,129,0,11,32,411,10,3,8,19,70,233,497,484,6,256,116,1,17,1,35,9,85,16,1,233,470,69,14,230,300,23,3,25,6,48,513,14,274,29,36,3617,10,2,24,10,88,2,6,1,7,8,8,207,11,311,6,417
17,712,57,146,10,384,99,15,590,168,130,2,14,22,399,15,12,2,12,58,224,568,442,6,245,121,3,18,2,43,7,73,11,2,254,449,82,12,234,330,27,5,26,9,39,535,15,301,28,47,3814,17,0,31,7,72,1,7,3,14,7,8,206,19,363,6,380
18,752,67,144,0,378,106,17,565,156,129,0,7,23,394,10,16,9,16,43,221,515,488,8,255,100,2,28,6,38,6,77,10,4,239,497,89,12,256,313,18,4,38,7,27,600,14,282,35,35,3691,19,4,10,5,84,2,3,2,4,5,4,202,19,338,4,403
9,729,61,143,9,403,126,26,586,149,146,1,16,29,407,11,11,6,19,57,238,518,463,7,272,125,0,18,5,36,13,69,12,1,247,518,74,14,232,292,21,5,35,5,35,540,23,291,16,55,3733,11,1,18,6,74,0,4,2,8,6,6,191,27,339,9,403
18,724,56,124,8,369,122,14,642,173,126,1,13,27,395,12,6,9,18,51,213,479,503,12,272,98,3,23,3,31,8,65,16,1,214,467,73,14,276,321,26,8,25,6,50,547,17,281,31,58,3690,14,1,29,7,72,1,7,1,9,7,7,196,13,384,4,411
