0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
20,863,78,209,6,399,103,24,580,171,162,3,25,27,449,8,20,5,23,70,256,489,508,8,275,134,1,30,1,31,3,76,13,4,251,489,104,17,262,332,28,6,32,9,42,568,19,317,28,36,5142,10,3,25,8,100,1,13,6,9,6,11,266,26,402,3,433
18,870,84,206,11,431,113,17,582,194,155,1,23,29,422,16,12,2,17,74,266,507,547,7,271,140,0,31,5,35,12,100,16,5,263,546,87,14,222,338,13,6,34,8,40,633,15,313,47,44,5273,10,2,25,7,92,3,5,11,14,10,8,262,26,357,8,498
21,914,71,188,8,435,113,20,604,171,138,1,24,28,421,11,17,6,14,57,231,523,472,7,268,144,2,23,6,41,9,92,11,7,266,468,124,14,234,322,27,10,31,11,46,597,18,326,48,47,5183,12,0,18,10,80,1,7,5,9,11,10,270,18,393,7,441
16,847,81,181,4,372,115,26,572,184,149,0,21,29,438,17,16,7,17,60,268,514,508,9,286,123,1,34,3,31,8,86,11,2,271,486,94,19,201,338,28,5,48,9,34,534,24,315,32,38,5236,11,0,31,3,81,1,7,12,11,6,4,216,23,400,5,444
23,897,86,174,10,410,108,18,617,167,166,0,27,21,444,17,17,3,20,83,264,504,523,12,238,146,0,34,3,40,6,98,20,8,272,512,92,22,246,381,19,10,47,8,44,635,23,332,38,40,5091,15,3,38,6,84,2,14,7,19,9,5,255,12,387,8,436
21,858,69,184,9,423,120,19,591,175,124,4,14,33,375,13,17,6,17,62,236,504,504,8,264,135,1,25,4,47,14,85,17,1,246,494,101,18,234,342,20,3,38,10,50,571,19,286,39,50,5433,17,5,30,10,88,2,7,8,9,16,9,242,23,375,8,464
18,884,74,205,9,419,125,22,583,174,124,1,24,20,387,11,13,7,18,73,266,542,533,10,280,126,3,19,6,44,6,61,16,3,282,493,106,14,230,365,29,10,52,6,49,562,11,313,25,62,5278,9,3,35,4,91,1,7,9,9,7,10,254,20,423,9,439
18,878,66,186,6,408,113,24,608,168,141,1,35,39,404,7,22,9,17,76,247,492,476,13,247,163,3,27,3,30,12,74,11,4,266,492,101,16,227,334,18,9,50,6,38,565,17,309,27,44,5235,16,2,34,9,92,1,7,11,6,7,4,264,14,353,14,422
15,891,80,186,8,449,116,29,620,160,132,0,19,27,443,12,15,6,17,78,278,521,471,15,282,129,3,31,1,43,6,100,14,4,257,482,106,16,218,344,21,11,39,9,38,602,14,289,24,35,5252,19,2,29,4,99,1,7,10,7,8,8,259,27,374,11,466
18,851,61,169,10,435,116,21,647,163,135,0,22,28,460,8,12,9,18,69,246,463,502,14,272,131,1,31,2,38,6,98,21,8,283,517,98,15,260,336,28,10,22,6,43,623,16,318,30,48,5217,13,3,25,6,87,0,4,4,11,10,7,222,16,413,7,422
20,931,70,197,4,372,100,32,615,185,115,3,19,25,417,14,18,3,20,55,274,500,568,10,270,107,3,27,3,39,6,91,9,1,301,513,94,16,226,332,23,7,34,8,48,535,18,329,21,55,5260,15,3,28,16,81,1,8,2,12,9,9,262,29,390,13,445
23,899,94,190,9,447,103,24,597,177,149,0,19,34,440,6,12,7,8,74,252,536,469,8,263,133,1,36,0,38,8,95,15,5,254,520,117,19,222,350,28,11,30,14,32,593,22,341,35,44,5240,18,1,20,6,101,0,7,10,7,8,10,274,16,416,6,465
23,875,77,160,16,457,145,12,589,185,147,0,20,23,441,14,15,7,16,66,268,482,469,12,261,127,3,27,1,42,4,93,8,6,254,481,103,14,216,350,22,9,36,8,49,586,14,323,38,45,5242,14,4,28,5,90,0,6,12,9,9,5,252,18,401,11,487
23,902,79,174,5,416,133,20,646,174,161,2,24,24,438,14,10,3,25,71,271,458,448,12,293,124,1,14,2,39,11,80,10,2,246,520,103,23,228,313,21,8,38,7,42,596,20,302,37,39,5228,14,2,24,5,91,3,5,11,5,10,10,227,20,370,10,432
17,843,91,167,6,437,133,29,599,193,132,4,34,21,448,13,16,9,11,81,281,488,496,12,273,120,2,28,2,40,14,88,20,5,253,474,108,19,239,326,15,8,38,11,45,573,22,346,30,41,5251,16,3,28,14,81,4,14,6,3,4,9,232,20,414,12,431
19,882,70,194,6,409,127,25,600,158,160,2,17,26,417,15,14,4,24,69,278,503,526,10,218,167,1,29,1,38,11,97,13,7,217,508,107,21,279,344,23,5,51,11,63,590,14,324,24,43,5265,18,3,36,10,96,0,7,14,8,5,9,234,7,394,6,466
18,880,71,178,7,383,131,20,647,171,147,0,19,23,437,14,12,8,13,74,253,505,485,7,233,125,3,25,6,44,8,82,17,5,292,521,101,18,245,374,29,10,48,6,45,589,14,326,20,43,5326,15,4,20,3,103,4,6,6,8,7,10,246,18,426,13,459
18,880,82,170,3,409,124,25,582,175,145,1,13,25,438,16,9,12,18,89,255,494,504,15,244,134,3,30,3,35,9,85,19,2,264,525,109,24,251,353,24,6,23,13,51,590,25,329,33,55,5161,16,4,26,6,87,1,7,5,11,11,10,211,17,372,12,416
10,928,82,175,9,422,110,20,618,189,141,1,20,23,420,13,14,10,23,78,272,494,486,11,285,146,1,21,0,54,7,87,14,5,269,510,112,14,223,330,21,10,40,7,38,607,16,284,35,40,5174,11,1,26,4,92,2,7,7,10,10,8,260,17,378,14,407
25,898,72,187,14,428,127,26,606,179,167,1,19,24,455,11,18,7,16,68,282,482,478,9,282,125,3,35,6,50,10,81,16,6,273,491,114,20,243,331,21,7,51,10,62,580,22,294,38,41,5217,18,5,24,3,96,2,9,8,6,12,11,222,21,440,7,407
18,834,82,164,4,439,111,18,580,166,142,0,25,29,442,12,12,11,20,95,264,512,506,12,237,129,1,33,2,39,12,86,19,2,272,473,94,22,269,318,30,9,34,8,42,555,25,304,29,44,5259,10,3,26,7,82,0,5,9,5,11,7,249,17,410,5,433
22,856,68,199,7,428,122,26,644,161,142,3,16,39,413,16,16,6,22,88,251,474,477,9,285,150,0,35,2,49,6,85,14,3,275,520,100,15,244,369,25,6,47,4,42,633,19,321,29,39,5187,17,5,30,7,90,1,5,7,10,10,10,228,17,403,9,470
12,865,60,193,7,446,119,21,593,193,136,0,30,25,442,10,23,8,21,82,259,494,470,9,255,134,2,30,2,41,6,89,15,3,272,501,127,16,233,332,22,10,48,9,52,572,18,311,18,55,5312,16,4,31,5,69,0,8,9,7,11,5,221,25,390,13,425
18,959,68,190,11,431,129,19,575,187,146,1,20,25,446,15,20,5,22,74,280,470,512,9,249,134,1,26,1,32,10,95,25,3,279,484,94,13,248,320,19,4,38,10,43,577,17,288,28,42,5199,17,1,26,6,99,1,8,6,6,8,10,262,23,422,5,427
15,923,70,170,4,427,120,26,545,185,142,0,18,39,431,17,23,8,16,68,226,502,501,16,247,107,4,30,4,33,11,76,11,6,283,489,104,19,253,344,27,7,41,8,51,603,24,325,24,37,5118,10,6,28,6,78,1,10,3,11,16,6,270,9,359,12,427
18,944,78,181,5,420,129,13,658,177,140,0,18,26,445,10,15,8,22,76,241,487,500,15,260,165,0,34,4,36,5,87,14,5,275,504,115,13,208,373,28,12,38,6,36,558,13,294,30,45,5259,13,3,23,8,87,0,5,8,8,8,7,235,16,391,15,459
19,836,78,187,9,410,100,17,611,186,141,1,26,22,405,14,23,5,21,80,249,497,510,10,276,121,1,28,6,50,9,94,20,8,268,479,108,19,240,331,18,9,28,11,48,589,13,294,23,38,5091,13,4,29,4,91,1,8,6,10,10,6,236,9,382,11,495
18,961,77,194,10,379,108,25,615,162,138,1,15,27,485,17,17,12,17,59,283,467,491,12,274,119,2,23,3,47,11,79,9,5,260,496,93,18,229,347,19,7,46,8,37,593,9,323,39,45,5310,9,1,26,9,102,2,6,12,8,7,11,244,21,396,10,430
17,904,84,187,10,430,131,12,576,166,125,3,23,28,398,14,16,4,19,81,249,468,484,12,299,125,2,33,0,35,7,99,14,5,243,479,108,19,254,372,28,5,36,4,43,604,18,339,25,40,5287,9,9,25,8,85,0,10,11,6,5,10,216,24,372,10,434
22,834,67,183,9,422,132,16,585,192,155,1,27,23,438,13,13,5,15,69,233,542,484,8,263,143,3,34,5,52,10,91,25,5,246,511,100,12,257,333,13,10,35,2,36,612,24,323,27,54,5151,12,1,34,5,75,2,10,5,8,5,5,271,25,413,6,419
17,893,91,192,8,432,121,20,584,154,154,2,19,30,438,4,17,7,16,69,262,512,499,11,254,165,1,34,5,42,8,82,16,4,250,535,109,18,252,335,29,5,46,4,54,620,13,304,36,47,5236,13,3,27,8,88,1,4,4,6,8,11,235,16,399,9,465
22,880,75,146,6,408,125,17,623,173,161,0,17,35,458,9,10,8,14,81,282,501,504,9,280,122,4,34,6,42,11,83,18,8,257,540,91,23,230,338,24,9,54,7,40,605,18,299,42,46,5257,10,6,18,8,76,1,7,7,5,3,10,268,19,392,10,449
17,925,74,187,6,431,109,22,584,166,118,1,28,31,470,11,13,8,14,88,245,545,509,6,243,136,0,22,4,32,6,78,12,6,248,480,119,14,247,312,22,10,44,9,38,557,26,323,28,42,5314,21,3,32,5,75,2,10,8,8,10,11,225,21,373,10,445
11,881,72,166,8,405,119,23,587,180,131,0,22,30,459,9,11,7,15,60,286,516,484,15,265,126,1,21,4,37,13,86,18,4,231,498,101,20,235,351,16,6,35,13,46,582,19,285,36,41,5142,7,2,31,8,106,2,6,7,7,6,8,249,18,369,13,431
18,862,91,222,16,430,114,12,644,182,121,0,28,19,434,15,9,3,22,82,270,465,503,10,244,141,3,27,2,43,9,88,23,6,289,473,113,23,246,371,23,7,30,14,44,567,15,343,25,42,5274,15,0,24,9,76,1,9,9,16,11,6,246,22,420,7,413
25,860,78,172,2,443,119,17,620,179,138,0,24,31,394,12,22,10,20,80,265,544,511,12,260,125,2,31,4,38,11,67,18,3,280,517,117,12,251,317,20,4,34,9,34,582,14,278,33,34,5259,13,0,26,2,104,2,10,8,4,10,8,241,22,373,10,458
10,850,54,231,9,427,122,21,586,168,144,1,21,36,442,11,13,11,20,68,260,466,481,8,252,124,2,30,5,34,11,106,15,3,277,503,118,19,239,328,22,9,39,9,59,612,25,295,34,51,5249,18,2,24,7,90,0,4,8,12,11,5,223,26,406,6,424
13,970,73,181,8,457,107,17,644,173,152,1,27,22,408,20,13,8,14,65,263,494,538,15,270,125,3,20,4,32,17,81,12,9,270,468,110,13,237,340,16,11,33,10,48,569,6,313,23,52,5342,14,1,27,11,96,1,9,8,11,8,8,254,19,388,11,467
17,889,78,186,9,417,132,19,593,162,140,0,23,36,462,15,11,9,20,83,277,484,513,13,298,151,1,31,7,35,5,95,16,9,262,501,117,25,224,333,25,16,41,11,55,564,19,302,37,43,5306,17,4,27,10,79,0,4,6,6,8,9,253,17,383,9,427
18,905,63,183,14,433,132,32,582,182,128,1,23,34,457,18,15,7,29,72,263,479,482,17,255,136,0,24,3,45,9,88,17,2,263,485,105,16,229,365,17,8,42,8,39,548,11,292,38,26,5166,16,5,26,7,85,0,11,4,13,10,12,246,15,400,9,428
21,879,70,186,6,406,135,17,635,190,128,1,14,28,436,17,12,7,17,68,268,502,501,9,249,128,5,24,3,43,4,103,16,2,253,493,100,31,242,345,19,5,41,8,44,583,20,289,41,44,5265,8,3,27,12,91,2,8,8,13,4,8,240,25,384,10,454
17,900,78,181,7,422,108,19,629,167,154,0,29,35,440,14,15,4,20,85,256,505,518,6,252,147,3,26,3,29,9,80,18,2,271,549,100,19,242,350,15,14,32,9,43,585,23,335,26,58,5345,13,1,24,6,87,1,9,7,8,7,6,235,20,397,13,433
15,924,86,179,11,397,130,28,603,163,129,0,25,33,424,9,15,4,18,79,240,452,436,14,266,117,1,23,9,36,3,89,8,7,260,499,109,22,259,348,17,13,48,10,39,575,18,311,37,47,5303,10,5,28,7,121,0,6,8,8,6,8,245,18,427,10,468
20,842,75,177,14,429,106,17,620,175,160,1,25,29,408,19,16,11,18,66,267,485,503,8,263,148,1,28,3,28,9,76,16,4,263,521,106,20,238,372,27,9,35,7,43,621,15,315,39,64,5182,16,4,20,9,93,1,11,4,11,10,6,232,25,406,9,430
18,858,83,201,8,444,92,15,609,195,158,3,31,20,442,14,20,7,20,68,243,462,510,10,253,126,1,25,6,50,11,92,12,4,294,531,93,14,235,356,19,6,34,7,42,604,19,326,22,33,5275,13,6,34,15,91,0,10,7,10,6,5,244,11,357,10,462
26,907,84,167,13,433,127,19,601,184,132,1,25,25,422,18,15,8,14,57,279,449,517,10,271,124,0,30,4,37,7,75,14,6,260,515,96,15,230,307,22,5,35,7,43,610,16,322,43,41,5215,17,2,30,8,91,2,7,7,8,10,6,238,16,374,9,424
12,933,89,185,9,411,114,13,619,168,160,0,29,28,448,8,13,8,14,85,240,510,497,5,269,140,4,27,3,43,9,82,14,5,282,554,96,25,248,331,22,15,41,10,42,634,16,300,29,45,5224,11,3,30,10,90,2,9,10,8,7,8,268,14,385,10,447
11,883,56,171,7,463,111,13,607,177,142,0,29,34,423,9,19,5,13,85,265,496,515,9,264,146,2,36,5,42,7,78,21,5,263,477,101,20,236,352,21,6,34,6,41,563,26,302,27,40,5107,17,3,30,3,86,3,10,8,10,12,11,247,9,398,8,450
11,949,75,195,15,439,101,12,651,154,141,2,25,27,444,17,13,7,23,81,252,490,515,7,267,156,1,31,6,27,9,107,12,5,251,485,104,19,237,386,17,9,37,3,50,573,17,293,35,42,5278,17,4,33,10,86,2,5,11,11,10,9,233,15,396,7,416
21,912,66,199,11,389,107,26,625,170,125,1,19,28,444,11,15,4,15,84,274,471,510,9,248,134,2,33,2,37,11,81,20,5,272,513,109,15,247,343,30,13,39,8,44,580,17,305,24,33,5200,9,6,29,4,89,1,16,11,7,8,12,263,21,402,5,476
15,915,81,182,7,453,116,21,604,181,136,1,29,26,412,13,13,6,18,85,254,494,491,20,280,146,1,24,4,42,11,96,23,4,261,474,118,17,260,291,20,7,41,12,35,614,20,342,35,43,5368,12,4,29,8,92,1,7,6,8,8,7,262,16,402,11,469
15,930,80,193,6,428,128,17,602,169,155,1,19,19,407,15,10,4,18,71,258,501,504,15,267,135,0,29,1,34,9,84,20,1,281,524,101,14,231,326,23,7,40,7,42,554,19,308,26,39,5230,15,2,34,8,92,2,4,5,10,10,8,258,17,415,11,448
19,893,70,177,5,439,117,13,601,195,126,0,21,21,433,9,11,8,15,82,247,473,473,7,237,154,0,25,4,41,7,80,12,3,227,494,98,22,247,367,24,7,36,11,44,614,17,328,35,35,5260,9,2,34,3,91,2,9,5,7,5,4,255,13,364,7,418
16,825,81,203,10,485,135,25,582,186,138,1,20,29,442,7,13,12,20,82,244,496,503,7,248,127,1,28,2,35,15,91,14,6,257,517,104,14,228,354,23,6,37,7,42,568,19,301,27,30,5255,11,1,26,3,97,0,2,10,9,7,7,262,16,379,6,446
10,919,70,193,9,428,131,29,570,170,162,1,26,34,427,13,15,5,18,83,266,482,508,6,289,143,2,19,3,34,14,80,16,7,284,517,98,19,209,310,32,9,41,6,45,543,18,354,32,40,5395,14,3,27,7,92,0,5,7,4,8,5,260,23,407,6,434
19,930,74,189,5,424,112,13,593,172,143,1,24,27,415,11,12,15,15,56,279,490,498,18,259,143,1,23,3,33,7,90,7,2,267,496,100,23,241,348,27,10,45,13,44,620,20,296,39,35,5263,10,4,14,6,92,1,11,11,15,10,11,269,21,347,7,415
15,887,63,180,8,443,121,27,582,174,152,0,23,27,473,8,20,6,8,72,266,489,522,8,243,140,2,34,5,39,8,108,8,8,254,490,124,25,259,365,23,7,34,9,43,591,28,293,41,46,5032,21,1,29,5,86,0,6,7,11,10,9,221,20,374,12,429
26,871,88,182,6,437,104,18,579,165,128,1,22,31,437,6,15,7,10,78,236,466,523,13,243,139,2,14,2,41,9,95,16,3,272,491,91,19,261,340,30,7,43,13,40,560,25,320,33,33,5229,10,6,29,5,65,1,9,9,11,8,4,250,16,413,8,492
23,886,83,186,11,441,127,13,611,188,130,1,25,22,428,14,14,6,27,88,261,484,515,11,250,141,3,29,2,34,6,108,20,3,281,527,101,18,230,345,23,7,35,11,43,545,16,327,31,40,5267,13,1,22,9,85,0,9,9,11,10,4,233,21,414,13,448
14,894,68,174,7,457,105,14,570,151,140,2,24,32,413,9,15,8,18,69,267,511,513,6,268,119,0,22,7,38,7,86,12,5,269,520,124,17,239,333,17,9,34,5,42,550,18,327,29,41,5235,13,3,27,10,102,2,1,5,7,8,7,274,10,375,10,434
16,900,80,187,9,404,112,21,644,194,146,1,18,22,416,17,16,5,15,87,233,484,518,12,260,116,0,25,3,31,6,80,15,5,252,520,102,15,272,343,14,6,36,6,47,591,16,330,29,36,5232,13,3,31,4,87,1,8,8,7,7,11,249,23,380,6,447
19,890,72,166,9,491,99,18,600,180,153,2,17,22,392,13,11,6,14,79,267,465,464,13,269,130,3,27,6,30,8,89,11,12,255,516,115,21,276,294,20,9,40,12,41,612,13,345,31,46,5287,9,3,32,6,78,2,10,9,14,2,6,235,29,382,12,455
24,883,71,196,10,437,135,22,583,149,154,0,27,17,444,15,15,10,10,82,248,521,504,10,237,128,3,18,6,29,8,108,15,5,245,466,116,24,243,338,23,2,28,13,52,548,18,293,33,67,5262,21,6,32,3,103,0,11,9,9,8,5,238,26,373,5,458
20,938,77,204,5,448,105,23,622,193,139,1,17,27,450,10,16,9,15,71,278,518,451,14,263,126,1,21,2,23,5,95,19,7,277,477,99,9,251,365,20,15,39,9,38,566,25,340,23,36,5197,16,2,39,4,104,2,5,7,12,9,18,260,15,382,7,452
18,890,86,194,12,449,116,25,620,199,154,1,23,23,412,19,16,7,11,79,230,514,488,13,257,150,0,26,1,28,12,75,11,8,243,518,106,23,248,334,24,6,36,6,37,580,15,299,32,45,5224,12,0,20,4,88,3,10,6,8,6,6,246,16,412,9,433
27,877,65,191,5,384,105,20,597,199,143,2,25,33,411,9,18,10,17,86,273,506,517,19,257,130,0,27,2,43,5,74,16,4,260,485,113,20,264,330,21,10,55,8,50,592,19,315,33,36,5265,11,2,31,6,72,0,6,8,12,12,13,275,14,384,5,460
22,906,93,192,10,458,139,18,587,164,143,0,16,29,405,11,17,12,18,76,263,496,495,9,235,119,1,26,2,40,10,91,21,2,245,500,98,10,243,337,25,9,37,9,30,583,21,250,33,37,5250,10,3,27,8,89,1,12,5,5,12,9,246,23,340,12,441
22,869,66,199,7,457,123,20,579,146,156,2,22,27,406,13,20,7,24,82,277,468,499,10,239,144,3,19,3,42,11,91,15,9,268,510,110,20,249,322,26,10,26,7,44,638,15,312,36,50,5245,22,2,20,14,92,0,10,8,12,16,6,270,25,389,13,419
21,843,79,185,11,403,132,15,631,212,134,1,18,17,468,17,23,13,17,76,264,480,480,8,244,139,1,25,0,41,6,90,16,5,277,495,96,24,266,358,18,9,43,8,50,556,21,342,37,42,5235,14,4,37,6,86,1,7,9,7,12,10,262,22,346,8,422
16,882,78,180,11,415,119,24,618,146,149,0,21,29,407,18,13,10,16,74,267,486,540,8,271,127,1,14,4,43,11,80,11,5,272,496,105,16,223,339,26,15,47,9,52,542,21,331,34,36,5254,13,4,35,11,96,1,8,5,11,13,7,273,17,399,6,407
23,867,78,177,15,426,111,13,587,179,151,0,19,30,414,6,14,11,21,83,271,496,501,10,270,131,2,25,2,44,12,90,15,4,247,487,106,13,222,327,25,11,48,9,50,559,17,288,32,48,5190,12,5,28,8,96,2,5,10,8,11,10,223,18,378,12,405
