0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,824,71,170,11,419,106,15,600,182,147,3,25,29,458,15,21,4,29,83,250,535,526,12,260,124,1,19,4,37,6,73,14,3,250,477,87,19,304,330,20,5,29,6,52,625,17,318,26,35,3995,11,3,26,8,96,1,13,5,8,8,8,241,13,386,3,416
21,890,73,159,10,381,96,21,665,171,143,1,14,21,494,8,7,4,19,72,251,538,525,8,270,117,0,39,2,43,11,78,19,5,261,506,82,19,278,309,17,6,43,5,50,657,21,277,25,38,3990,8,3,18,6,83,3,7,2,9,7,11,226,20,374,5,458
16,841,76,153,4,371,122,20,587,173,133,1,20,27,440,18,14,9,18,71,227,531,565,5,257,123,0,26,2,43,12,97,11,1,244,485,89,14,309,318,23,9,45,3,53,691,21,300,34,51,4033,11,3,24,4,65,0,11,6,7,12,11,236,18,375,11,431
9,832,53,136,10,400,111,17,626,173,114,0,17,27,449,11,19,10,16,74,258,539,556,5,276,127,1,28,5,41,10,89,13,1,233,484,106,24,264,312,31,4,39,5,42,681,15,308,29,38,3936,12,1,28,3,89,1,6,4,9,5,3,222,24,408,5,461
16,887,47,155,8,417,100,13,653,174,159,0,18,21,467,14,16,5,12,66,257,523,540,5,264,131,0,37,3,34,7,75,22,0,277,524,97,15,287,364,23,10,34,6,56,703,20,294,31,37,4082,14,3,22,6,69,2,18,3,10,10,4,236,12,367,7,446
13,794,79,163,5,396,125,17,650,168,147,1,7,30,465,14,19,5,21,54,237,560,573,9,272,135,1,34,5,46,5,88,10,1,260,481,89,18,284,317,20,5,31,6,54,665,15,309,41,50,4084,13,4,23,9,82,1,8,5,9,11,3,224,20,363,3,442
13,902,60,178,6,410,127,21,638,188,138,1,17,22,465,12,18,4,18,58,263,531,552,6,298,137,3,23,4,43,8,62,12,1,245,504,97,16,300,344,24,10,41,5,42,624,16,302,23,59,3980,12,1,28,7,95,1,8,6,6,7,8,246,19,366,8,444
23,880,80,158,6,390,116,15,623,186,113,0,12,29,456,12,15,10,17,62,228,520,528,7,261,126,3,26,4,34,11,77,8,4,226,525,79,18,266,326,12,10,45,5,47,631,21,272,33,22,4073,20,2,31,8,82,1,8,2,4,4,8,230,21,379,8,453
15,828,84,180,5,435,123,14,643,153,149,0,17,22,467,14,11,5,14,67,278,536,513,11,317,123,3,32,1,47,7,68,9,2,248,505,86,26,293,341,11,7,37,8,51,672,18,292,26,35,3914,10,2,29,7,64,1,6,1,4,8,13,219,22,374,8,450
18,858,77,161,12,408,121,16,632,170,126,0,18,29,482,10,19,7,30,73,239,556,539,13,261,149,0,20,1,32,7,77,23,0,248,517,90,21,307,358,15,9,24,6,45,689,14,313,28,50,3961,11,3,21,7,69,0,7,4,9,8,5,243,13,368,7,441
21,893,63,188,4,406,136,20,668,176,127,1,13,26,464,15,16,7,12,70,219,527,561,10,265,121,1,20,5,46,7,80,8,2,248,506,87,25,300,325,24,6,32,7,62,676,19,289,35,44,3974,19,2,33,6,74,1,7,3,12,6,9,243,15,389,6,455
18,792,65,165,9,418,111,16,662,150,142,0,13,24,456,7,14,8,20,59,248,583,551,2,292,138,1,31,2,39,9,79,15,5,229,510,98,31,289,354,16,8,35,13,49,632,12,314,27,49,3950,14,2,20,5,82,0,7,4,6,7,7,232,15,384,8,477
16,800,87,172,10,392,135,16,636,218,146,0,16,27,498,13,13,8,22,65,231,574,538,13,266,122,4,32,3,57,6,87,8,2,223,498,89,19,266,302,23,5,25,8,43,688,15,326,22,45,4081,15,4,26,3,87,0,5,7,10,9,8,220,14,410,7,494
18,887,73,149,5,409,127,21,642,164,138,2,12,24,467,10,14,3,20,61,251,585,562,12,269,115,1,20,3,55,10,79,12,1,233,516,85,22,284,319,23,6,30,4,34,667,20,279,24,31,4072,12,2,26,3,81,3,8,1,5,11,9,225,19,413,6,457
17,825,72,146,5,422,142,12,645,198,138,0,11,34,496,12,16,4,25,71,277,554,528,11,302,123,2,28,3,35,10,90,16,2,250,512,97,18,309,317,19,5,43,7,45,675,22,337,27,46,4019,13,3,21,9,73,5,10,7,5,6,11,212,14,396,7,425
16,843,73,180,7,419,130,24,664,181,134,2,12,28,427,12,14,5,16,57,256,561,553,5,256,143,1,28,4,35,11,88,13,2,222,546,91,17,298,332,15,10,42,7,50,647,22,325,25,52,4075,15,6,25,8,97,1,7,2,7,6,8,215,9,364,6,445
17,884,55,152,11,403,130,20,664,173,130,0,12,31,440,7,15,7,17,75,271,552,478,7,282,120,5,19,4,38,7,71,14,3,225,521,77,14,291,350,18,5,41,6,39,676,14,265,29,44,3924,15,3,21,7,86,3,6,0,7,11,8,212,9,418,4,469
