0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
18,943,78,205,11,430,107,24,642,202,162,3,17,30,521,8,21,3,28,85,286,513,524,8,272,143,1,28,3,31,3,94,13,4,251,524,110,23,317,329,25,8,41,9,54,614,21,353,32,46,5301,18,3,36,8,100,1,11,7,9,7,3,257,26,449,3,436
27,952,80,194,10,419,127,19,649,200,141,1,26,33,485,15,13,8,17,90,268,549,571,7,295,136,0,35,2,38,11,102,16,5,272,526,103,18,247,328,25,3,41,8,51,689,12,301,37,45,5257,18,2,34,6,90,3,5,4,14,12,12,258,26,401,8,466
25,909,84,175,9,472,121,18,651,193,155,1,24,27,457,12,18,6,20,79,236,490,525,7,236,153,2,24,6,40,9,103,11,7,268,553,136,17,234,325,38,6,40,13,48,619,20,339,49,36,5305,21,0,22,6,87,1,6,5,7,11,12,251,19,396,7,491
17,980,73,180,4,403,130,28,672,196,138,0,20,32,477,17,24,9,20,70,277,528,543,8,286,135,1,31,2,35,11,85,12,1,247,516,94,19,245,362,29,5,51,9,46,638,17,322,32,54,5323,16,0,41,3,81,1,7,5,11,12,3,240,23,428,5,464
27,984,85,207,9,439,125,22,656,212,171,0,24,26,486,17,17,4,14,79,273,535,562,12,261,156,0,30,3,47,7,94,20,7,284,561,92,20,280,372,27,4,37,8,57,673,23,344,32,45,5331,14,3,28,4,84,2,14,8,18,10,8,256,15,435,8,480
13,904,70,174,6,432,126,21,631,181,138,4,14,40,455,18,17,4,15,87,250,519,556,8,277,126,1,33,8,44,14,98,17,5,267,561,97,20,276,388,28,11,40,10,48,636,26,317,42,49,5341,20,5,29,9,88,1,10,9,9,9,12,248,23,391,8,487
17,1040,79,218,6,464,122,24,644,211,151,1,29,22,417,16,16,7,19,83,279,540,492,10,272,130,3,37,7,46,9,82,15,1,291,504,106,20,279,336,25,9,48,6,61,667,11,323,25,48,5430,10,3,25,4,91,1,6,12,7,6,7,264,16,420,10,497
19,953,73,203,6,427,137,22,646,180,145,0,33,36,457,7,14,12,20,82,244,514,536,11,262,138,3,26,3,27,16,84,11,4,246,520,102,20,249,391,20,9,44,6,51,597,17,299,41,34,5381,22,2,32,9,100,1,9,13,7,6,7,231,14,421,14,444
18,990,80,210,6,412,139,29,634,188,158,0,22,32,466,13,15,6,14,95,268,521,530,15,299,123,3,29,1,40,6,97,14,5,272,553,112,25,267,345,21,8,46,9,51,656,12,312,26,35,5440,19,2,24,6,99,1,7,11,8,6,4,278,30,483,11,467
18,932,70,199,11,449,122,22,671,211,132,0,22,25,487,9,18,9,16,69,267,512,539,18,282,134,1,35,4,49,11,90,21,8,288,544,105,18,280,318,31,10,32,6,50,606,16,321,26,48,5389,14,3,35,6,86,0,4,3,10,10,7,223,15,412,7,496
15,936,92,204,7,441,119,30,666,193,154,1,19,27,485,14,19,6,24,76,259,512,585,10,288,112,1,26,2,45,7,76,9,1,293,544,107,20,271,353,33,9,40,7,48,628,21,328,22,44,5366,13,2,34,16,84,2,8,3,11,9,10,267,31,400,13,483
16,904,94,213,7,452,122,20,653,171,166,0,19,35,435,8,12,8,22,89,272,517,572,8,257,131,1,33,0,39,10,83,15,5,276,538,117,24,284,356,16,10,39,14,43,644,12,326,23,47,5294,18,3,24,9,91,0,7,8,7,9,12,280,16,467,6,476
19,917,94,214,12,458,124,12,691,216,162,0,20,22,504,17,20,8,23,73,266,501,538,12,276,116,3,30,4,45,4,100,8,5,278,564,97,19,269,351,22,13,42,8,42,653,15,333,30,53,5391,7,4,34,5,98,0,4,11,8,14,5,265,18,487,11,499
