0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
17,648,68,157,7,363,95,16,504,136,114,3,15,18,348,8,14,3,23,54,214,469,415,9,228,108,1,26,2,25,6,73,12,3,236,433,76,19,202,288,24,5,28,5,41,464,16,267,20,31,3778,10,4,28,7,89,1,14,4,6,6,11,219,13,287,3,389
21,717,65,143,13,364,86,23,503,138,137,1,16,17,357,8,10,6,12,63,229,436,397,12,266,136,0,34,7,33,8,67,17,1,233,439,70,13,162,281,10,4,34,5,37,476,14,258,31,45,3890,9,3,24,7,83,3,5,2,11,8,8,180,21,299,5,380
18,677,80,121,5,375,92,18,451,160,113,1,19,18,328,6,11,4,16,52,214,477,397,7,237,105,2,29,2,40,9,68,11,1,235,431,75,8,182,297,17,8,40,3,35,473,15,260,31,42,3793,8,0,16,10,62,0,8,4,7,9,11,197,15,326,10,379
7,676,60,128,3,364,110,13,484,150,106,0,17,22,373,12,14,10,18,54,218,461,414,6,257,110,3,24,3,34,4,70,10,0,225,437,84,5,193,296,32,3,40,5,30,458,22,257,21,36,3880,11,1,34,2,67,1,7,2,12,7,2,191,18,318,5,408
12,679,64,130,9,363,102,12,484,130,106,0,14,20,346,12,16,7,12,51,221,460,402,5,239,123,0,26,4,36,4,81,19,1,230,471,85,12,187,295,21,12,31,6,47,473,27,263,28,32,3946,10,4,21,5,71,2,9,4,13,13,8,188,13,299,7,377
11,696,70,141,5,352,121,12,535,143,119,1,7,25,331,12,9,7,17,45,226,457,403,8,241,131,1,32,2,37,7,72,7,1,213,455,85,16,193,272,21,8,29,5,40,480,15,256,34,43,3921,3,4,28,10,82,2,7,4,10,6,10,184,19,282,6,381
12,644,69,140,12,392,100,19,480,130,123,1,16,17,321,6,10,2,16,53,234,483,412,6,246,123,3,25,1,45,8,55,9,2,232,423,101,13,206,275,18,10,31,6,42,450,11,265,19,44,3882,7,3,26,6,100,1,7,1,5,4,6,211,20,294,6,374
17,686,55,133,5,340,112,11,515,163,114,1,10,22,344,8,20,6,11,48,195,444,435,8,258,116,3,21,3,28,7,76,11,3,222,426,89,9,183,263,14,7,33,5,44,424,16,247,31,28,3849,11,2,21,4,85,1,6,3,9,11,8,223,15,281,6,405
13,713,68,169,8,386,97,21,520,162,131,0,16,27,370,6,10,5,8,63,241,433,387,13,243,109,3,27,1,34,5,66,9,1,225,483,95,13,190,251,17,7,30,6,45,468,14,256,27,38,3811,7,2,27,3,64,1,8,1,5,3,3,203,25,335,11,398
13,718,67,128,10,391,97,18,524,178,112,0,15,22,375,9,11,10,12,43,224,462,420,9,240,128,1,21,2,38,6,72,21,1,227,461,84,10,193,274,19,10,31,2,47,481,14,282,26,40,3870,11,3,21,7,70,0,3,2,12,8,7,194,12,319,7,409
