0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
20,880,66,190,18,436,103,17,658,180,153,3,19,35,484,18,17,4,26,83,250,562,591,12,258,131,1,19,4,37,6,86,14,3,245,484,81,19,318,326,28,5,30,5,52,648,17,349,28,34,4327,16,3,33,8,76,1,13,5,8,9,8,242,25,393,3,436
21,931,71,170,10,391,116,21,667,184,142,1,28,21,503,16,7,4,19,73,244,546,537,10,285,131,0,39,2,43,11,94,19,5,295,559,94,19,277,336,17,6,44,5,55,666,21,316,37,43,4382,8,3,21,6,82,3,7,3,12,7,11,248,20,398,7,485
17,900,76,165,4,407,120,20,617,174,135,1,16,27,480,14,15,9,18,84,238,513,529,5,256,126,0,27,2,43,12,82,12,1,262,480,104,14,302,340,28,9,33,3,55,672,22,266,31,38,4430,13,3,28,7,71,0,11,8,7,12,11,247,18,397,11,456
18,905,85,176,10,422,101,18,661,181,140,0,17,27,472,14,19,10,16,81,229,537,575,8,285,124,1,28,5,43,10,103,13,3,261,487,101,24,260,362,33,4,42,6,43,693,20,306,24,38,4326,17,1,28,3,84,1,6,6,9,7,3,225,24,431,5,460
17,891,45,174,8,429,116,13,659,165,164,0,16,31,493,12,16,5,13,78,237,570,581,5,268,148,0,30,3,34,7,78,26,0,257,523,102,13,289,358,26,10,37,6,56,670,20,300,31,38,4492,15,3,23,6,77,2,18,6,10,9,4,234,12,417,7,481
16,896,78,156,5,392,125,23,647,204,161,1,7,32,455,17,20,6,21,81,230,576,520,15,287,155,1,36,5,46,5,87,10,3,255,547,86,17,300,333,20,6,34,3,43,675,15,313,39,48,4512,13,4,23,9,90,1,11,5,13,12,3,240,20,415,3,452
13,958,64,194,6,408,133,22,643,179,144,1,17,28,478,12,18,4,20,77,265,534,559,6,306,138,3,27,4,43,8,79,12,1,264,529,103,17,286,372,20,10,38,5,44,685,16,295,23,49,4455,10,1,28,7,99,1,8,10,6,7,11,222,19,422,8,445
20,904,70,188,6,412,127,24,629,185,158,0,28,29,460,13,15,10,17,62,219,545,608,7,283,131,3,27,4,34,11,74,11,4,252,515,101,15,288,338,19,10,31,6,47,665,23,330,33,34,4329,20,2,31,8,79,1,8,4,4,6,15,232,14,397,9,457
16,874,74,196,5,385,123,20,680,192,168,0,19,25,523,14,11,6,18,70,267,559,546,11,279,123,3,32,1,47,7,81,9,3,251,554,98,26,307,326,13,7,46,7,49,689,18,290,30,43,4316,14,2,29,6,70,1,6,6,4,9,13,277,22,397,6,492
18,948,71,155,12,415,127,16,650,184,117,0,18,31,506,10,19,7,31,82,260,557,566,13,274,157,0,20,1,32,8,88,23,3,243,489,97,21,313,350,15,10,31,6,45,662,16,334,28,49,4303,9,3,21,10,74,0,7,4,12,10,5,256,16,391,7,474
18,888,67,177,4,395,133,28,646,205,132,1,17,24,471,15,22,7,12,71,264,537,533,10,269,119,1,24,5,47,7,79,8,2,240,508,93,21,262,333,24,6,31,7,62,677,17,298,36,50,4316,19,3,36,7,81,1,7,3,12,7,9,270,17,442,9,468
23,848,81,175,9,416,120,21,671,184,147,0,20,33,472,7,16,8,20,64,264,579,584,7,285,132,1,30,2,39,8,88,21,5,236,550,100,31,288,369,20,8,38,13,50,619,12,320,27,49,4426,14,2,23,5,78,0,7,6,6,7,7,270,20,400,7,515
16,888,95,180,12,409,136,16,669,222,152,0,19,22,504,13,13,8,22,70,279,573,574,11,278,126,4,31,3,39,7,85,8,5,233,544,104,19,273,350,23,5,28,7,47,673,15,311,27,45,4475,16,4,28,3,87,0,5,10,10,9,8,231,14,430,12,495
18,978,78,161,12,437,129,21,688,153,148,2,18,24,492,10,16,3,22,84,259,594,585,12,273,110,1,20,3,55,10,87,12,1,240,544,86,27,269,374,26,6,41,4,41,660,20,318,33,32,4421,12,2,26,3,87,3,8,6,5,11,9,236,19,397,6,459
17,906,95,155,6,440,132,25,651,201,148,0,13,36,485,12,16,4,25,73,285,556,560,8,297,122,2,27,5,35,10,78,15,5,263,503,104,23,303,306,20,5,43,7,45,697,22,360,27,53,4343,18,3,22,9,73,5,10,8,5,6,11,233,14,387,7,435
18,941,71,185,7,422,123,26,653,196,142,2,14,29,491,12,14,5,16,61,279,536,538,5,271,143,1,29,4,35,11,81,14,2,201,550,101,22,314,338,13,10,43,10,50,704,22,306,37,55,4397,21,6,25,8,89,1,7,5,5,6,8,244,10,372,7,465
18,877,67,169,11,407,126,20,657,187,134,0,23,32,513,7,16,6,17,76,226,517,522,7,278,138,5,19,4,38,9,71,14,5,239,496,108,14,304,336,18,5,40,6,38,695,14,316,24,44,4384,15,3,22,7,83,3,6,0,7,5,8,229,18,409,1,484
20,941,63,175,6,388,125,19,649,182,155,2,16,27,450,8,10,6,11,89,245,560,537,9,269,122,3,24,4,43,8,84,17,3,256,502,88,22,308,338,27,6,26,7,39,703,25,331,27,52,4310,13,2,28,5,74,0,8,6,7,7,6,212,17,416,13,432
12,922,78,184,7,412,122,23,637,195,137,0,15,24,484,4,15,8,19,79,236,545,601,7,279,132,1,28,3,48,9,86,9,4,255,531,96,20,277,338,24,7,25,4,45,676,18,321,27,39,4415,17,3,21,4,74,2,6,5,10,9,9,210,14,397,8,465
