0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,779,86,148,11,394,108,12,564,151,114,3,19,24,442,7,17,3,21,60,261,506,452,12,277,115,1,28,3,30,3,60,14,3,255,467,87,20,238,325,23,6,37,6,51,562,15,282,42,42,3946,17,3,27,8,93,1,10,2,8,5,3,198,18,389,3,418
21,842,66,144,10,391,96,25,589,170,135,1,17,27,406,10,12,6,17,68,235,562,472,8,277,110,0,31,2,38,11,75,17,1,231,492,77,18,247,313,22,3,31,5,45,577,18,271,24,43,4017,15,2,23,6,83,3,5,3,9,5,12,209,19,370,5,408
14,847,86,153,4,384,110,24,596,154,113,1,19,20,417,5,11,6,18,55,218,500,489,6,231,133,2,27,5,40,9,80,11,1,226,458,86,17,235,342,26,5,42,3,48,569,20,285,30,45,4108,15,0,22,6,65,0,6,5,8,10,13,216,18,350,7,423
12,779,62,141,4,330,126,21,547,171,136,0,16,22,426,19,15,8,16,63,240,490,482,6,280,117,1,31,2,37,8,77,13,0,233,450,99,21,261,307,28,9,39,5,37,578,15,292,27,41,3918,15,0,28,3,89,1,7,5,11,13,3,185,24,365,5,428
20,817,71,176,9,395,101,14,569,167,146,0,18,21,440,10,15,3,13,76,239,518,523,5,257,147,0,28,2,44,7,72,20,2,271,488,86,20,256,336,23,10,30,6,44,578,23,265,31,38,4044,16,3,24,4,71,2,14,4,18,8,6,220,12,338,7,460
16,791,67,153,5,386,98,15,587,177,144,1,7,30,422,17,16,4,19,57,203,501,473,9,258,145,1,33,8,47,9,90,7,1,255,525,90,21,233,319,28,3,28,7,32,606,15,285,41,50,4069,3,5,28,9,82,1,8,5,9,9,12,226,23,352,3,441
11,795,65,185,6,398,116,18,576,158,124,1,16,19,422,17,8,5,20,71,250,502,474,6,269,126,3,29,7,47,7,63,12,1,242,484,97,17,285,297,16,9,40,6,62,553,11,261,21,53,4023,13,2,25,7,88,1,6,1,7,5,7,225,16,393,8,419
15,820,69,181,5,390,122,17,553,174,142,0,8,24,395,7,15,10,16,72,195,503,508,7,273,136,3,23,3,26,13,71,11,5,205,494,79,14,235,310,20,10,42,5,43,579,17,277,36,26,4012,13,2,32,8,91,1,8,3,4,4,7,223,21,345,7,407
17,810,80,165,8,419,126,15,592,183,134,0,17,24,429,8,13,5,16,61,243,509,471,13,290,113,3,26,1,36,6,78,9,2,251,498,85,22,244,329,19,8,34,8,34,602,12,277,29,35,3944,18,2,22,5,64,1,6,8,7,6,6,203,25,363,11,447
16,824,71,152,12,387,122,22,563,179,119,0,18,20,422,9,16,9,14,51,245,496,498,11,273,129,1,31,1,47,11,72,23,0,249,479,94,17,244,297,22,9,27,3,56,596,16,277,31,48,3951,12,3,23,6,69,0,4,4,10,10,7,213,12,358,7,428
17,793,58,182,7,372,117,22,576,166,147,1,14,28,418,14,19,5,17,67,227,522,532,10,265,110,1,24,1,44,7,83,8,1,227,488,84,21,241,281,21,2,25,7,42,567,20,277,17,39,3973,15,2,30,14,73,2,8,5,9,9,6,210,15,373,6,411
17,850,68,151,10,404,94,21,632,161,143,0,17,35,428,8,11,8,22,46,248,556,485,3,247,129,1,30,0,34,9,76,15,3,232,489,87,17,255,336,14,8,31,13,39,547,12,336,28,40,3986,11,2,16,5,81,0,6,4,6,8,10,201,15,337,8,419
22,688,78,145,10,381,115,10,598,182,157,0,15,16,439,15,12,8,20,59,222,491,499,12,272,109,3,26,4,39,4,65,8,1,237,494,89,19,231,313,16,7,28,8,39,607,15,317,25,52,4098,16,4,32,5,87,0,4,7,8,11,7,229,16,385,7,458
9,876,68,135,5,379,125,21,602,143,149,2,14,31,427,15,12,5,21,71,229,507,508,12,275,136,1,26,2,48,10,82,12,1,218,513,84,18,230,285,24,4,31,4,38,608,21,281,27,39,3997,9,2,27,6,77,3,4,1,6,9,10,203,19,359,6,397
22,809,69,134,5,411,135,16,580,183,134,0,11,26,418,5,14,4,21,67,239,523,500,11,254,110,2,32,6,34,7,83,16,1,228,512,97,30,283,314,28,7,39,7,39,562,20,303,26,39,3924,9,3,19,6,73,5,12,7,4,7,4,204,15,366,7,394
14,782,73,153,7,391,111,20,616,145,136,2,14,26,444,12,13,6,13,67,246,497,483,5,252,139,1,32,3,36,6,74,12,2,235,534,84,22,230,299,22,7,40,6,48,576,18,304,23,43,4019,11,4,28,7,91,1,8,1,6,4,8,213,11,352,6,441
12,769,63,174,12,389,110,21,586,153,133,0,12,37,418,10,8,6,27,79,235,515,433,7,268,129,3,18,7,43,7,64,16,2,240,544,88,15,230,328,24,5,33,6,51,552,14,290,27,44,4022,16,3,24,7,91,3,6,4,8,5,5,204,9,393,2,434
21,791,71,156,5,393,122,20,563,165,143,1,23,27,420,16,12,10,12,58,247,524,492,9,275,110,3,24,4,40,8,72,13,1,230,531,87,21,264,312,33,5,24,7,37,580,25,304,35,46,3978,10,2,26,5,69,1,9,6,5,6,5,226,17,350,9,416
10,813,64,140,8,405,106,17,602,170,130,1,24,24,406,6,12,8,18,62,249,535,483,8,303,145,1,25,3,42,7,68,9,6,243,467,85,19,241,304,16,10,34,6,36,544,20,290,12,38,3974,16,3,25,4,84,2,5,5,10,8,4,217,14,353,7,396
15,791,76,163,13,377,111,15,565,170,138,2,23,21,422,7,17,5,11,78,268,496,477,8,279,128,2,28,4,50,13,68,13,3,234,453,76,12,242,333,21,3,43,5,46,580,17,276,40,45,3961,16,5,22,7,76,2,10,3,6,5,6,216,15,359,12,415
