0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
17,776,63,180,7,400,102,24,524,152,150,3,18,19,387,11,12,3,20,73,257,478,490,6,269,131,1,26,2,25,6,76,12,4,241,445,94,19,222,315,25,5,32,6,40,527,16,292,30,31,4570,10,4,27,7,92,1,14,4,6,6,11,251,16,356,3,413
21,738,64,169,13,404,106,20,535,158,143,1,27,17,376,16,10,6,13,52,263,451,457,12,260,126,0,25,7,33,14,91,17,3,257,472,84,12,201,316,17,5,39,7,35,513,14,283,38,45,4720,10,3,24,8,87,3,5,7,11,8,8,234,23,334,8,451
17,778,102,155,5,395,108,18,581,149,122,1,20,22,361,16,15,6,16,55,221,437,438,7,226,137,2,31,2,41,9,92,11,2,241,415,84,18,221,306,22,8,28,3,35,476,18,268,38,33,4612,8,0,17,10,68,1,9,7,7,9,15,234,16,344,14,399
11,741,70,139,3,398,111,28,546,155,119,0,17,24,403,15,14,10,20,54,275,442,427,9,282,107,3,24,3,34,5,86,10,0,243,472,112,13,194,343,32,3,35,4,33,499,23,287,20,36,4647,15,1,33,2,85,1,9,8,12,4,8,202,20,329,6,418
20,747,66,162,10,415,100,12,562,182,125,0,20,22,397,9,10,7,14,71,251,464,465,10,242,135,0,28,4,34,4,88,21,2,246,471,89,15,217,337,21,6,34,10,51,502,27,278,20,32,4689,9,4,18,5,73,2,11,5,14,10,8,233,14,325,8,435
15,695,67,141,5,390,109,18,513,148,133,4,12,23,362,10,11,7,19,56,256,481,489,12,251,122,1,37,3,41,12,80,18,1,240,484,103,17,205,300,25,9,38,3,38,517,15,290,30,43,4671,12,5,30,10,99,2,8,8,10,10,6,213,21,346,6,421
13,779,64,182,12,407,104,22,515,167,129,1,25,18,369,10,17,2,16,62,250,437,458,6,256,144,3,24,3,48,8,79,11,3,240,429,107,15,190,312,23,10,44,6,44,512,11,272,25,61,4550,14,3,31,9,79,1,9,4,5,6,6,215,21,413,11,419
17,749,75,168,5,380,116,25,552,165,135,1,20,20,369,11,22,7,11,65,244,454,456,8,259,121,3,26,3,20,8,77,11,4,232,429,90,14,170,310,19,7,50,7,45,492,16,303,34,28,4623,9,2,22,9,73,1,6,1,9,10,4,251,14,315,11,430
16,816,66,168,8,435,111,30,569,145,150,0,20,30,407,6,10,5,11,66,242,423,453,15,249,148,3,27,1,31,7,80,10,1,236,496,98,22,210,297,17,15,34,8,45,517,14,305,28,38,4658,10,2,29,6,75,1,8,3,6,3,3,254,27,337,11,401
14,746,71,175,10,392,104,21,556,159,125,0,15,30,395,8,16,10,12,66,257,465,427,9,257,144,1,30,2,41,6,87,21,1,243,505,109,13,210,308,19,10,40,4,50,530,15,278,26,40,4547,11,3,27,7,93,0,3,3,12,14,7,238,17,358,7,423
10,747,61,187,3,408,117,27,540,175,128,2,23,28,382,13,17,7,13,54,232,456,471,11,240,132,2,16,3,45,5,84,9,3,253,462,101,15,208,290,20,3,26,10,44,501,17,273,18,40,4612,13,3,26,13,73,1,9,2,12,8,8,250,21,348,8,413
18,726,85,153,15,433,112,18,509,163,146,0,16,27,358,14,13,6,16,67,254,508,448,8,258,127,1,29,4,27,8,91,20,3,232,489,112,10,203,317,25,14,30,14,37,493,22,298,23,44,4511,12,3,23,5,89,0,5,10,6,5,5,221,15,337,8,431
17,778,83,153,10,436,121,12,544,161,126,0,19,34,422,20,18,4,18,75,235,461,424,9,248,127,3,26,1,35,5,81,11,6,258,447,87,13,192,331,22,7,38,7,52,501,14,317,31,46,4654,14,4,27,6,83,0,1,10,9,8,6,225,18,351,9,438
14,787,61,167,8,407,123,17,532,156,139,2,21,25,366,15,13,3,20,68,229,474,438,13,266,106,1,20,2,44,6,81,10,1,237,457,88,17,182,313,27,8,40,9,37,530,18,315,29,37,4731,10,2,29,4,79,3,6,6,5,11,10,235,17,344,10,420
15,820,81,141,5,378,122,20,567,176,128,0,32,18,419,11,9,9,16,75,242,495,425,14,280,131,2,17,3,36,13,63,14,4,255,475,106,16,213,282,20,8,26,7,35,513,21,305,31,35,4674,13,3,18,14,76,4,12,5,3,14,6,215,22,362,4,418
23,761,83,160,5,416,108,29,516,142,140,2,16,28,383,7,17,6,11,61,258,440,460,8,239,139,1,24,1,38,7,85,13,4,229,471,107,14,190,320,23,5,48,11,47,525,14,295,22,41,4636,15,4,25,5,92,0,7,2,5,4,7,213,7,325,6,421
13,778,74,171,9,404,126,16,513,158,131,0,18,30,383,8,11,4,9,51,218,477,430,7,252,118,3,27,6,36,8,87,16,4,282,496,101,21,205,324,23,8,42,4,39,502,13,281,22,40,4607,7,1,21,2,95,4,6,4,8,4,2,226,15,368,6,378
16,760,79,159,4,401,129,17,533,171,134,1,14,30,380,12,13,10,20,63,260,435,419,9,260,113,3,27,4,37,9,88,17,2,271,454,107,17,209,296,25,5,31,6,40,486,15,296,40,49,4555,14,2,26,5,81,0,6,6,9,8,7,204,18,376,12,414
12,756,79,157,10,410,99,18,575,156,127,1,16,27,381,9,11,8,14,72,249,427,438,10,279,127,1,21,3,34,10,83,8,5,251,465,102,15,205,308,22,10,39,7,39,500,16,287,26,44,4637,14,4,18,4,77,2,9,8,5,8,4,208,17,342,7,401
20,778,61,167,12,407,98,21,559,174,154,1,23,27,407,5,12,6,12,69,251,447,397,8,248,124,2,23,3,35,7,87,15,4,253,451,93,20,206,288,24,7,31,4,40,491,18,296,40,44,4515,17,5,31,3,80,1,8,6,6,9,11,230,18,369,9,409
