0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
17,1112,98,217,19,486,114,27,762,258,165,3,23,34,569,13,19,5,34,87,316,587,656,8,337,130,2,27,7,43,6,102,16,3,297,549,105,28,390,397,28,6,31,9,57,846,20,378,30,43,5396,22,4,30,12,96,1,14,10,9,11,11,287,22,483,3,528
32,1135,74,228,13,469,118,23,768,221,186,1,28,32,583,19,14,5,16,79,269,644,697,7,303,150,0,38,2,44,12,99,16,6,301,564,104,21,349,397,18,8,42,10,57,869,22,366,36,40,5525,17,3,26,6,94,3,8,8,14,13,11,282,31,492,8,528
20,1119,93,221,9,440,123,26,749,215,171,2,21,29,579,19,19,6,23,88,261,589,703,5,288,131,0,31,4,42,12,113,17,8,259,553,105,18,336,365,21,15,40,8,48,875,22,351,46,48,5351,11,3,34,6,87,1,14,8,11,8,10,279,18,516,13,520
17,1068,91,204,11,437,122,25,757,227,164,0,20,34,551,13,15,11,13,91,277,642,710,10,315,133,1,32,3,42,10,95,15,5,288,535,106,26,366,405,32,4,52,11,54,830,24,356,40,46,5308,20,0,37,5,81,1,9,5,11,12,11,270,23,511,6,508
30,1134,71,225,8,467,137,25,785,189,162,0,23,41,603,17,13,5,25,84,306,613,672,12,292,159,0,29,5,37,7,96,20,7,293,610,89,17,383,417,18,10,36,5,48,861,25,368,33,39,5280,17,3,37,7,83,1,17,8,11,11,7,272,11,461,8,546
17,1178,74,193,14,449,114,22,778,234,157,4,20,34,555,8,13,8,18,91,278,640,654,12,287,160,1,40,4,41,8,91,19,5,330,616,110,34,357,374,32,6,44,7,54,836,23,369,44,52,5352,20,2,21,9,84,1,6,10,15,11,4,267,22,473,3,512
17,1109,74,234,6,447,140,21,751,219,167,1,27,30,552,12,18,3,30,93,283,607,689,10,331,150,3,23,4,54,10,94,17,1,282,560,114,25,392,391,25,9,43,5,51,827,18,329,29,49,5295,19,2,31,7,95,1,7,8,8,6,10,260,19,486,10,526
19,1143,75,208,4,488,144,23,794,201,148,0,31,36,596,13,21,10,20,93,317,559,650,13,306,150,3,28,4,36,12,93,12,5,272,589,95,30,344,359,17,8,52,7,51,799,25,389,35,34,5279,17,2,30,9,98,2,13,10,9,7,13,266,14,487,14,505
23,1072,90,220,5,465,141,34,764,235,159,0,27,35,592,13,15,7,21,102,304,582,666,15,301,153,3,35,9,41,11,85,14,6,272,592,116,31,366,361,19,10,51,10,41,890,18,356,33,35,5604,22,2,22,6,104,1,7,9,8,9,4,274,30,502,6,531
25,1157,65,204,9,436,142,22,773,227,158,0,23,39,589,13,17,12,31,95,300,611,682,18,290,167,1,23,6,40,10,107,20,7,286,574,79,16,372,401,23,10,27,3,62,819,17,389,31,52,5400,13,4,22,6,89,0,5,7,9,9,5,277,18,473,8,540
16,1177,76,236,4,468,123,33,759,212,155,1,23,37,570,15,23,7,21,76,302,623,689,8,293,147,2,21,4,48,8,87,12,2,317,566,98,33,357,388,21,9,44,10,64,855,27,367,33,53,5291,20,2,30,9,91,1,6,4,13,8,7,262,30,511,13,531
20,1102,82,221,10,517,123,19,755,215,152,0,22,30,613,13,17,9,17,85,307,627,695,8,296,159,1,30,4,30,8,108,15,7,285,590,116,25,378,384,15,8,57,17,48,837,20,370,29,51,5340,15,6,24,10,113,1,7,11,5,7,11,290,23,529,7,556
19,1112,90,223,8,480,149,16,787,220,177,0,25,26,585,15,21,8,20,109,290,605,668,12,288,137,4,27,3,48,8,112,8,5,287,592,110,22,378,410,27,5,34,8,61,882,21,375,30,52,5386,22,4,32,3,97,0,5,8,9,12,9,301,18,492,9,578
28,1183,97,234,10,476,158,24,821,206,172,2,20,30,580,15,21,2,18,100,288,599,643,15,321,165,1,31,5,59,13,89,15,5,279,576,100,35,394,404,29,9,37,9,49,840,22,356,26,59,5581,16,2,29,6,93,3,9,11,7,11,6,307,20,483,7,548
27,1159,109,232,11,466,138,38,812,237,164,4,26,33,608,12,20,11,26,87,292,609,658,14,328,152,2,29,4,37,14,98,17,6,302,590,123,41,389,342,24,10,50,9,45,835,28,401,35,43,5491,20,4,25,12,86,5,12,8,7,11,11,262,21,505,12,512
33,1092,93,216,7,434,131,27,795,222,166,2,19,37,581,12,17,7,18,92,283,578,697,11,305,176,1,36,5,36,14,114,12,9,267,583,110,27,383,401,30,7,47,11,65,898,23,366,33,44,5404,25,4,29,10,99,1,8,11,7,8,16,284,13,469,10,529
25,1087,71,207,13,461,142,24,734,202,179,0,22,34,549,14,14,2,23,104,248,613,664,7,304,140,5,39,5,41,13,80,17,6,309,575,104,30,379,400,23,11,38,8,49,831,15,349,25,40,5491,23,3,20,3,96,3,9,11,8,14,5,298,23,519,12,534
