0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
16,924,84,198,11,434,117,13,649,196,139,3,15,20,499,12,18,5,31,74,277,561,606,12,266,133,2,21,5,41,4,78,14,2,266,502,85,27,347,350,28,6,32,6,47,751,17,319,37,45,3955,21,3,24,12,90,1,13,4,9,9,7,232,14,421,3,467
17,974,75,176,10,409,94,16,689,179,163,1,13,21,539,10,10,3,16,88,275,558,568,8,292,159,0,38,2,36,12,83,19,4,275,561,88,18,346,366,16,8,43,5,56,711,22,280,31,41,3964,13,3,24,6,83,3,7,3,11,9,11,219,20,413,7,441
23,942,81,173,9,401,117,20,667,168,151,2,20,19,533,17,16,6,17,74,257,595,551,5,276,113,0,30,5,35,11,95,11,1,252,566,89,15,331,347,19,15,35,3,45,751,21,325,39,38,4034,13,3,29,6,65,0,14,7,6,8,6,232,18,434,11,469
18,882,66,174,11,410,101,17,720,210,134,0,19,35,506,11,15,11,11,84,265,585,574,5,253,138,1,31,3,40,10,96,8,1,262,460,106,15,322,344,29,4,39,5,52,720,18,349,37,34,3992,21,0,26,2,78,1,10,4,11,9,10,202,24,422,5,486
14,905,75,166,8,410,110,14,670,175,160,0,18,29,556,17,13,5,20,78,240,589,632,7,276,136,0,29,4,38,5,78,20,0,260,550,86,23,332,334,18,10,36,6,50,735,24,287,28,33,4129,11,3,21,7,77,1,17,3,11,9,3,210,11,412,8,505
17,887,72,196,14,389,110,22,653,191,166,1,15,30,521,14,13,7,19,59,233,580,557,8,278,134,1,27,4,40,7,78,10,0,259,578,86,18,373,313,24,5,30,8,58,810,20,307,40,51,4127,13,2,21,6,90,1,6,4,15,10,4,223,21,389,3,474
15,854,68,158,6,403,131,17,692,187,136,1,17,30,508,12,15,3,32,65,246,563,618,8,297,146,3,21,4,54,10,76,12,1,258,550,97,19,377,352,20,9,41,8,52,719,17,293,26,59,4012,11,1,27,9,95,1,7,5,8,6,8,232,19,418,7,440
14,902,72,182,4,402,132,15,711,200,145,0,18,32,490,12,23,10,21,56,251,562,590,6,290,122,3,17,4,31,11,83,11,3,254,535,98,20,306,320,16,8,43,9,44,732,21,311,26,33,4010,22,2,33,14,79,2,14,3,9,6,9,249,21,399,8,468
13,939,74,165,5,409,128,16,734,182,147,0,16,35,527,7,11,7,20,71,259,557,584,11,311,138,3,28,9,40,6,100,10,2,237,536,94,24,311,314,12,5,43,6,58,741,18,317,27,32,3956,19,2,22,4,69,1,7,1,8,5,4,219,23,425,8,510
17,918,85,178,9,439,125,17,670,196,138,0,18,36,551,13,6,12,25,61,228,566,611,11,271,156,0,19,1,35,7,86,22,0,248,547,100,18,362,295,24,9,31,3,60,751,14,301,32,47,3973,10,4,26,7,69,0,3,3,9,10,5,241,18,419,8,440
